ot,lat,lon,dep,mag
2012-08-27T07:39:50.299071Z,32.9466,-115.5532,14,-3.63
2012-08-27T08:21:41.689008Z,32.8266,-115.5932,20,-4.29
2012-08-27T08:58:22.705522Z,32.9666,-115.6332,1,-3.69
2012-08-27T09:06:42.221270Z,32.7666,-115.4332,21,-4.46
2012-08-27T09:10:40.589643Z,32.8666,-115.5132,14,-4.50
2012-08-27T09:25:41.576491Z,32.8866,-115.5332,20,-4.32
2012-08-27T09:28:56.813571Z,32.8866,-115.5332,21,-3.99
2012-08-27T09:37:47.615000Z,32.7466,-115.5332,18,-3.30
2012-08-27T14:44:40.538793Z,32.8266,-115.6932,23,-3.25
2012-08-27T16:30:54.970601Z,32.9666,-115.5332,20,-3.30
2012-08-27T18:36:12.287143Z,32.9266,-115.5332,22,-3.52
2012-08-27T00:01:54.224967Z,32.8466,-115.5332,14,-3.62
2012-08-27T00:19:47.573254Z,32.8066,-115.5732,21,-3.75
2012-08-27T00:24:45.620635Z,32.8466,-115.5132,18,-3.79
2012-08-27T00:29:42.075079Z,32.6466,-115.3932,1,-4.14
